algorithme,taille,serie,exemplaire,temps d'exécution,revenu
algorithme,taille,serie,exemplaire,temps d'exécution,revenu
algorithme,taille,serie,exemplaire,temps d'exécution,revenu
glouton,100,10,01,0.002667665481567383,13.0
glouton,100,10,02,0.002824544906616211,15.0
glouton,100,10,03,0.002370119094848633,18.0
glouton,100,10,04,0.002624034881591797,26.0
glouton,100,10,05,0.0028307437896728516,36.0
glouton,100,10,06,0.003332853317260742,70.0
glouton,100,10,07,0.002905607223510742,43.0
glouton,100,10,08,0.0030655860900878906,49.0
glouton,100,10,09,0.0030698776245117188,61.0
glouton,100,10,10,0.003209829330444336,63.0
glouton,100,100,01,0.0030248165130615234,123.0
glouton,100,100,02,0.0032570362091064453,123.0
glouton,100,100,03,0.0037364959716796875,176.0
glouton,100,100,04,0.003100872039794922,211.0
glouton,100,100,05,0.003269672393798828,301.0
glouton,100,100,06,0.0035402774810791016,330.0
glouton,100,100,07,0.003511667251586914,406.0
glouton,100,100,08,0.003606081008911133,488.0
glouton,100,100,09,0.0035436153411865234,510.0
glouton,100,100,10,0.003966808319091797,587.0
glouton,100,1000,01,0.0033445358276367188,1368.0
glouton,100,1000,02,0.0033388137817382812,1256.0
glouton,100,1000,03,0.003656148910522461,1804.0
glouton,100,1000,04,0.003464937210083008,2247.0
glouton,100,1000,05,0.003495931625366211,2598.0
glouton,100,1000,06,0.0034797191619873047,3560.0
glouton,100,1000,07,0.0038094520568847656,3509.0
glouton,100,1000,08,0.003897428512573242,3926.0
glouton,100,1000,09,0.0037643909454345703,5144.0
glouton,100,1000,10,0.0038404464721679688,5556.0
glouton,1000,10,01,0.007744550704956055,64.0
glouton,1000,10,02,0.008634567260742188,122.0
glouton,1000,10,03,0.009991168975830078,175.0
glouton,1000,10,04,0.011346817016601562,243.0
glouton,1000,10,05,0.012397289276123047,293.0
glouton,1000,10,06,0.01365971565246582,339.0
glouton,1000,10,07,0.01636338233947754,398.0
glouton,1000,10,08,0.01882004737854004,479.0
glouton,1000,10,09,0.020850658416748047,525.0
glouton,1000,10,10,0.0233762264251709,588.0
glouton,1000,100,01,0.00865483283996582,582.0
glouton,1000,100,02,0.009441852569580078,1127.0
glouton,1000,100,03,0.010377168655395508,1623.0
glouton,1000,100,04,0.01175832748413086,2142.0
glouton,1000,100,05,0.013094663619995117,2673.0
glouton,1000,100,06,0.015132665634155273,3209.0
glouton,1000,100,07,0.018330812454223633,3643.0
glouton,1000,100,08,0.019505977630615234,4311.0
glouton,1000,100,09,0.0225980281829834,4760.0
glouton,1000,100,10,0.025796175003051758,5390.0
glouton,1000,1000,01,0.011979818344116211,6067.0
glouton,1000,1000,02,0.015418529510498047,10806.0
glouton,1000,1000,03,0.01662158966064453,15739.0
glouton,1000,1000,04,0.017844676971435547,21600.0
glouton,1000,1000,05,0.018280506134033203,26050.0
glouton,1000,1000,06,0.019403696060180664,31522.0
glouton,1000,1000,07,0.021663904190063477,36090.0
glouton,1000,1000,08,0.02402782440185547,41565.0
glouton,1000,1000,09,0.026185035705566406,46942.0
glouton,1000,1000,10,0.02712106704711914,51526.0
glouton,10000,10,01,0.0683443546295166,572.0
glouton,10000,10,02,0.10840129852294922,1155.0
glouton,10000,10,03,0.1662132740020752,1752.0
glouton,10000,10,04,0.24419069290161133,2294.0
glouton,10000,10,05,0.35356569290161133,2881.0
glouton,10000,10,06,0.4825770854949951,3499.0
glouton,10000,10,07,0.6322762966156006,4028.0
glouton,10000,10,08,0.7552874088287354,4567.0
glouton,10000,10,09,0.9700779914855957,5155.0
glouton,10000,10,10,1.1761951446533203,5667.0
glouton,10000,100,01,0.07294559478759766,5283.0
glouton,10000,100,02,0.10941648483276367,10462.0
glouton,10000,100,03,0.17475008964538574,15744.0
