algorithme,taille,serie,exemplaire,temps d'exécution,revenu,rendement,maxQ
local,100,10,1,0.003822803497314453,16.0,10.333333333333334,11
local,100,10,2,0.0037813186645507812,17.0,12.5,11
local,100,10,3,0.0037736892700195312,22.0,14.2,15
local,100,10,4,0.004083395004272461,28.0,12.5,22
local,100,10,5,0.004293918609619141,45.0,20.366666666666667,32
local,100,10,6,0.004547834396362305,78.0,27.38888888888889,64
local,100,10,7,0.0041506290435791016,47.0,16.016666666666666,38
local,100,10,8,0.00429844856262207,54.0,21.203968253968252,43
local,100,10,9,0.0040435791015625,64.0,13.641666666666666,55
local,100,10,10,0.00511932373046875,69.0,25.859523809523807,56
local,100,100,2,0.003968715667724609,113.0,6.185714285714285,107
local,100,100,1,0.004589557647705078,144.0,13.023719336219337,101
local,100,100,3,0.00451207160949707,184.0,20.12830687830688,147
local,100,100,4,0.004518270492553711,207.0,7.986732869910625,184
local,100,100,5,0.004323005676269531,293.0,9.799537448852519,268
local,100,100,6,0.004460573196411133,339.0,13.204763418605262,310
local,100,100,7,0.0051310062408447266,445.0,42.92100620528681,347
local,100,100,8,0.005149126052856445,502.0,23.013820360970982,443
local,100,100,10,0.005224466323852539,610.0,27.092272474735626,525
local,100,100,9,0.006152153015136719,570.0,29.897861806482496,455
local,100,1000,1,0.005190610885620117,1442.0,45.07769572341053,1001
local,100,1000,2,0.005601167678833008,1236.0,6.116843539484566,1118
local,100,1000,3,0.00539851188659668,1777.0,15.415718802727621,1553
local,100,1000,4,0.005316257476806641,2865.0,17.122119727125483,2086
local,100,1000,5,0.004946708679199219,3161.0,24.033230996560103,2221
local,100,1000,6,0.004588603973388672,3494.0,11.8378547878132,3055
local,100,1000,7,0.004998207092285156,3605.0,12.642486557725627,3270
local,100,1000,8,0.004898548126220703,4031.0,14.880717871258653,3736
local,100,1000,9,0.005025386810302734,5158.0,18.309626713072852,4734
local,100,1000,10,0.005650043487548828,6008.0,19.83896376065534,5240
local,1000,10,1,0.01620793342590332,88.0,63.65833333333334,54
local,1000,10,2,0.015222311019897461,151.0,79.4857142857143,111
local,1000,10,3,0.021824121475219727,219.0,105.84166666666667,163
local,1000,10,4,0.02485799789428711,284.0,128.44801587301586,218
local,1000,10,5,0.0198211669921875,332.0,117.99126984126983,275
local,1000,10,6,0.027419328689575195,393.0,135.47738095238094,324
local,1000,10,8,0.05420279502868652,529.0,163.62261904761908,445
local,1000,10,7,0.06609940528869629,462.0,165.33412698412698,379
local,1000,10,9,0.07920289039611816,609.0,204.0654761904761,494
local,1000,10,10,0.0964205265045166,675.0,219.68214285714282,557
local,1000,100,1,0.03235197067260742,901.0,150.56888528138526,496
local,1000,100,2,0.030876636505126953,1406.0,131.0466507184193,1027
local,1000,100,3,0.02801799774169922,1941.0,178.47495039590427,1488
local,1000,100,4,0.03659558296203613,2599.0,186.8612034305689,2004
local,1000,100,5,0.04539060592651367,3259.0,213.1238055530818,2564
local,1000,100,6,0.06619620323181152,3882.0,212.2377758830983,3064
local,1000,100,7,0.06310725212097168,4369.0,296.33171455825874,3431
local,1000,100,8,0.06412386894226074,5098.0,285.92032789916357,4080
